epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
87,13128.3,0.77934,0.55078,0.80677,0.81586,0.73253,0.817,0.63364,0.71746,0.52454,0.80067,0.001486,0.001486,0.001486
88,13272.1,0.77531,0.54487,0.80849,0.82084,0.73444,0.81891,0.63484,0.71833,0.52073,0.80093,0.001387,0.001387,0.001387
89,13416.5,0.76925,0.53906,0.80084,0.80848,0.74619,0.82089,0.63606,0.7187,0.52095,0.80089,0.001288,0.001288,0.001288
90,13560.7,0.77983,0.53803,0.8076,0.82463,0.73422,0.8222,0.63649,0.71822,0.52019,0.80066,0.001189,0.001189,0.001189
91,13709.5,0.74484,0.47887,0.80519,0.81905,0.73796,0.82262,0.63674,0.71864,0.52026,0.80067,0.00109,0.00109,0.00109
92,13849.9,0.73787,0.47393,0.80499,0.82704,0.73098,0.82279,0.63771,0.71917,0.51949,0.80058,0.000991,0.000991,0.000991
93,13989.9,0.73808,0.46938,0.80554,0.81815,0.73509,0.82377,0.63778,0.7203,0.52115,0.80037,0.000892,0.000892,0.000892
94,14130.2,0.73755,0.46652,0.80486,0.83683,0.72544,0.8253,0.64014,0.71934,0.51976,0.80024,0.000793,0.000793,0.000793
95,14271.2,0.72944,0.45891,0.80474,0.83876,0.72727,0.82742,0.64128,0.71945,0.51982,0.80028,0.000694,0.000694,0.000694
96,14411.2,0.72491,0.45735,0.8019,0.83093,0.73835,0.82834,0.64293,0.71889,0.51989,0.80018,0.000595,0.000595,0.000595
97,14551.5,0.72301,0.44606,0.80289,0.80912,0.75448,0.82986,0.64364,0.71802,0.52008,0.80007,0.000496,0.000496,0.000496
98,14692.7,0.72555,0.44802,0.8038,0.82267,0.74652,0.83069,0.64346,0.71725,0.51977,0.80007,0.000397,0.000397,0.000397
99,14833.3,0.71079,0.43412,0.79931,0.80951,0.75449,0.83065,0.64438,0.71638,0.51948,0.80008,0.000298,0.000298,0.000298
100,14973.9,0.7191,0.43898,0.80281,0.8104,0.75852,0.83048,0.64355,0.71656,0.51986,0.80007,0.000199,0.000199,0.000199
